ssc_p,hsc_p,degree_p,internship,aptitiude_t,status,salary
67.0,91.0,58.0,0,55.0,1,2.7
79.33,78.33,77.48,1,86.5,1,2.0
65.0,68.0,64.0,0,75.0,1,2.5
56.0,52.0,52.0,0,66.0,0,0.0
85.8,73.6,73.3,0,96.8,1,4.25
55.0,49.8,67.25,1,55.0,0,0.0
46.0,49.2,79.0,0,74.28,0,0.0
82.0,64.0,66.0,1,67.0,1,2.52
73.0,79.0,72.0,0,91.34,1,2.31
58.0,70.0,61.0,0,54.0,0,0.0
58.0,61.0,60.0,1,62.0,1,2.6
69.6,68.4,78.3,1,60.0,1,2.5
47.0,55.0,65.0,0,62.0,0,0.0
77.0,87.0,59.0,0,68.0,1,2.18
62.0,47.0,50.0,0,76.0,0,0.0
65.0,75.0,69.0,1,72.0,1,2.0
63.0,66.2,65.6,1,60.0,1,3.0
55.0,67.0,64.0,0,60.0,0,0.0
63.0,66.0,64.0,0,68.0,0,0.0
60.0,67.0,70.0,1,50.48,1,2.36
62.0,65.0,66.0,0,50.0,1,2.65
79.0,76.0,85.0,0,95.0,1,3.93
69.8,60.8,72.23,0,55.53,1,3.6
77.4,60.0,64.74,1,92.0,1,3.0
76.5,97.7,78.86,0,97.4,1,3.6
52.58,54.6,50.2,1,76.0,0,0.0
71.0,79.0,66.0,1,94.0,1,2.4
63.0,67.0,66.0,0,68.0,1,2.65
76.76,76.5,67.5,1,73.35,1,3.5
62.0,67.0,58.0,0,77.0,0,0.0
64.0,73.5,73.0,0,52.0,1,2.5
67.0,53.0,65.0,0,64.0,0,0.0
61.0,81.0,66.4,0,50.89,1,2.78
87.0,65.0,81.0,1,88.0,1,2.6
62.0,51.0,52.0,0,68.44,0,0.0
69.0,78.0,72.0,0,71.0,1,3.0
51.0,44.0,57.0,0,64.0,0,0.0
79.0,76.0,65.6,0,58.0,1,3.2
73.0,58.0,66.0,0,53.7,1,2.4
81.0,68.0,64.0,0,93.0,1,4.11
78.0,77.0,80.0,0,60.0,1,2.87
74.0,63.16,65.0,1,65.0,0,0.0
49.0,39.0,65.0,0,63.0,0,0.0
87.0,87.0,68.0,0,95.0,1,3.0
77.0,73.0,81.0,1,89.0,1,2.0
76.0,64.0,72.0,0,58.0,0,0.0
70.89,71.98,65.6,0,68.0,0,0.0
63.0,60.0,57.0,1,78.0,1,2.04
63.0,62.0,68.0,0,64.0,1,2.5
50.0,37.0,52.0,0,65.0,0,0.0
75.2,73.2,68.4,0,65.0,1,2.0
54.4,61.12,56.2,0,67.0,0,0.0
40.89,45.83,53.0,0,71.2,0,0.0
80.0,70.0,72.0,0,87.0,1,4.5
74.0,60.0,69.0,0,78.0,1,2.16
60.4,66.6,65.0,0,71.0,1,2.2
63.0,71.4,61.4,0,68.0,1,2.4
68.0,76.0,74.0,0,80.0,1,3.6
74.0,62.0,68.0,0,74.0,1,2.68
52.6,65.58,72.11,0,57.6,1,2.65
74.0,70.0,72.0,1,60.0,1,2.6
84.2,73.4,66.89,0,61.6,1,3.0
86.5,64.2,67.4,0,59.0,1,2.4
61.0,70.0,64.0,0,68.5,0,0.0
80.0,73.0,75.0,0,61.0,1,2.4
54.0,47.0,57.0,0,89.69,0,0.0
83.0,74.0,66.0,0,68.92,1,2.75
80.92,78.5,67.0,0,68.71,1,2.75
69.7,47.0,72.7,0,79.0,0,0.0
73.0,73.0,66.0,1,70.0,1,2.75
82.0,61.0,62.0,0,89.0,1,3.6
75.0,70.29,71.0,0,95.0,1,2.4
84.86,67.0,78.0,0,95.5,1,2.4
64.6,83.83,71.72,0,86.0,1,2.18
56.6,64.8,70.2,0,84.27,1,3.36
59.0,62.0,77.5,0,74.0,0,0.0
66.5,70.4,71.93,0,61.0,1,2.3
64.0,80.0,65.0,1,69.0,1,5.0
84.0,90.9,64.5,0,86.04,1,2.7
69.0,62.0,66.0,0,75.0,0,0.0
69.0,62.0,69.0,1,67.0,1,2.4
81.7,63.0,67.0,1,86.0,1,3.0
63.0,67.0,74.0,0,82.0,0,0.0
84.0,79.0,68.0,1,84.0,1,3.0
70.0,63.0,70.0,1,55.0,1,3.0
83.84,89.83,77.2,1,78.74,1,4.0
62.0,63.0,64.0,0,67.0,1,2.2
59.6,51.0,60.0,0,75.0,0,0.0
66.0,62.0,73.0,0,58.0,1,2.1
84.0,75.0,69.0,1,62.0,1,2.1
85.0,90.0,82.0,0,92.0,1,3.0
52.0,57.0,50.8,0,67.0,0,0.0
60.23,69.0,66.0,0,72.0,1,2.3
52.0,62.0,54.0,0,72.0,0,0.0
58.0,62.0,64.0,0,53.88,1,2.6
73.0,78.0,65.0,1,95.46,1,4.2
76.0,70.0,76.0,1,66.0,1,3.0
70.5,62.5,61.0,0,93.91,0,0.0
69.0,73.0,65.0,0,70.0,1,2.2
54.0,82.0,63.0,0,50.0,0,0.0
45.0,57.0,58.0,1,56.39,0,0.0
63.0,72.0,68.0,0,78.0,1,3.8
77.0,61.0,68.0,1,57.5,1,3.0
73.0,78.0,73.0,1,85.0,1,2.4
69.0,63.0,65.0,1,55.0,1,3.6
59.0,64.0,58.0,0,85.0,0,0.0
61.08,50.0,54.0,0,71.0,0,0.0
82.0,90.0,83.0,0,80.0,1,2.0
61.0,82.0,69.0,0,84.0,1,3.0
52.0,63.0,65.0,1,86.0,0,0.0
69.5,70.0,72.0,0,57.2,1,2.5
51.0,54.0,61.0,0,60.0,0,0.0
58.0,61.0,61.0,0,58.0,1,2.5
73.96,79.0,67.0,0,72.15,1,2.8
65.0,68.0,69.0,0,53.7,1,2.5
73.0,63.0,66.0,0,89.0,1,2.16
68.2,72.8,66.6,1,96.0,1,3.0
77.0,75.0,73.0,0,80.0,1,2.4
76.0,80.0,78.0,1,97.0,1,2.76
60.8,68.4,64.6,1,82.66,1,9.4
58.0,40.0,59.0,0,73.0,0,0.0
64.0,67.0,69.6,1,55.67,1,2.5
66.5,66.8,69.3,1,80.4,1,2.36
74.0,59.0,73.0,1,60.0,1,2.4
67.0,71.0,64.33,1,64.0,1,2.5
84.0,73.0,73.0,0,75.0,1,3.5
79.0,61.0,75.5,1,70.0,1,2.1
72.0,60.0,69.0,0,55.5,1,2.5
80.4,73.4,77.72,1,81.2,1,4.0
76.7,89.7,66.0,1,90.0,1,2.5
62.0,65.0,60.0,0,84.0,0,0.0
74.9,57.0,62.0,1,80.0,1,3.6
67.0,68.0,64.0,1,74.4,1,3.0
73.0,64.0,77.0,1,65.0,1,2.5
77.44,92.0,72.0,1,94.0,1,2.5
72.0,56.0,69.0,0,55.6,1,2.0
47.0,59.0,64.0,0,78.0,0,0.0
67.0,63.0,72.0,0,56.0,1,2.25
82.0,64.0,73.0,1,96.0,1,2.5
77.0,70.0,59.0,1,58.0,1,2.2
65.0,64.8,69.5,1,56.0,1,2.65
66.0,64.0,60.0,0,60.0,0,0.0
85.0,60.0,73.43,1,60.0,1,2.6
77.67,64.89,70.67,0,89.0,1,3.0
52.0,50.0,61.0,0,60.0,0,0.0
89.4,65.66,71.25,0,72.0,1,4.0
62.0,63.0,66.0,0,85.0,1,2.33
70.0,74.0,65.0,0,83.0,1,3.0
77.0,86.0,56.0,0,57.0,1,2.4
44.0,58.0,55.0,1,64.25,0,0.0
71.0,58.66,58.0,1,56.0,1,6.9
65.0,65.0,75.0,0,83.0,1,2.7
75.4,60.5,84.0,0,98.0,1,2.4
49.0,59.0,65.0,1,86.0,1,3.4
53.0,63.0,60.0,1,70.0,1,2.5
51.57,74.66,59.9,1,56.15,0,0.0
84.2,69.4,65.0,1,80.0,1,2.55
66.5,62.5,60.9,0,93.4,1,3.0
67.0,63.0,64.0,0,60.0,0,0.0
52.0,49.0,58.0,0,62.0,0,0.0
87.0,74.0,65.0,1,75.0,1,3.0
55.6,51.0,57.5,0,57.63,0,0.0
74.2,87.6,77.25,1,75.2,1,2.85
63.0,67.0,64.0,0,75.0,1,5.0
67.16,72.5,63.35,0,53.04,1,2.5
63.3,78.33,74.0,0,80.0,0,0.0
62.0,62.0,60.0,1,63.0,1,2.4
67.9,62.0,67.0,1,58.1,0,0.0
48.0,51.0,58.0,1,60.0,0,0.0
59.96,42.16,61.26,0,54.48,0,0.0
63.4,67.2,60.0,0,58.06,0,0.0
80.0,80.0,72.0,1,63.79,1,2.9
73.0,58.0,56.0,0,84.0,1,3.0
52.0,52.0,55.0,0,67.0,0,0.0
73.24,50.83,64.27,1,64.0,1,5.0
63.0,62.0,65.0,0,87.5,0,0.0
59.0,60.0,56.0,0,55.0,1,2.2
73.0,97.0,79.0,1,89.0,1,6.5
68.0,56.0,68.0,0,73.0,1,3.5
77.8,64.0,64.2,0,75.5,0,0.0
65.0,71.5,62.8,1,57.0,1,2.65
62.0,60.33,64.21,0,63.0,0,0.0
52.0,65.0,57.0,1,75.0,0,0.0
65.0,77.0,69.0,0,60.0,1,2.76
56.28,62.83,59.79,0,60.0,0,0.0
88.0,72.0,78.0,0,82.0,1,2.52
52.0,64.0,61.0,0,55.0,0,0.0
78.5,65.5,67.0,1,95.0,1,2.8
61.8,47.0,54.38,0,57.0,0,0.0
54.0,77.6,69.2,0,95.65,0,0.0
64.0,70.2,61.0,0,50.0,0,0.0
67.0,61.0,72.0,0,72.0,1,2.64
65.2,61.4,64.8,1,93.4,1,2.7
60.0,63.0,56.0,1,80.0,1,3.0
52.0,55.0,56.3,0,59.0,0,0.0
66.0,76.0,72.0,1,84.0,1,2.75
72.0,63.0,77.5,1,78.0,1,2.5
83.96,53.0,91.0,0,59.32,1,2.6
67.0,70.0,65.0,0,88.0,0,0.0
69.0,65.0,57.0,0,73.0,1,2.65
69.0,60.0,65.0,0,87.55,1,3.0
54.2,63.0,58.0,0,79.0,0,0.0
70.0,63.0,66.0,0,61.28,1,2.4
55.68,61.33,56.87,0,66.0,1,2.6
74.0,73.0,73.0,1,80.0,1,2.1
61.0,62.0,65.0,0,62.0,1,2.5
41.0,42.0,60.0,0,97.0,0,0.0
83.33,78.0,61.0,1,88.56,1,3.0
43.0,60.0,65.0,0,92.66,0,0.0
62.0,72.0,65.0,0,67.0,1,2.16
80.6,82.0,77.6,0,91.0,1,4.0
58.0,60.0,72.0,0,74.0,1,2.75
67.0,67.0,73.0,1,59.0,1,2.95
74.0,66.0,58.0,0,70.0,1,2.04
62.0,58.0,53.0,0,89.0,0,0.0
